"No.","Time","Source","Destination","Protocol","Length","Info"
"20932","50.088503708","Apple_4a:a0:c1","Broadcast","802.11","278","Probe Request, SN=535, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"20948","50.107295509","Htc_7f:d1:60","Broadcast","802.11","278","Probe Request, SN=3416, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"21430","52.104917034","Apple_65:cc:2b","Broadcast","802.11","305","Probe Request, SN=3849, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"21436","52.123173438","Apple_65:cc:2b","Broadcast","802.11","305","Probe Request, SN=3850, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"21634","55.735948715","SamsungE_d9:1d:28","Broadcast","802.11","277","Probe Request, SN=303, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"23383","63.749650975","SamsungE_d9:1d:28","Broadcast","802.11","277","Probe Request, SN=327, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"23393","63.778843120","SamsungE_d9:1d:28","Broadcast","802.11","277","Probe Request, SN=328, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"24002","65.372201558","ChiconyE_36:91:f3","Broadcast","802.11","194","Probe Request, SN=397, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"24105","65.714597536","SamsungE_43:1a:d6","Broadcast","802.11","194","Probe Request, SN=2060, FN=0, Flags=........, SSID=NUST"
"24124","65.770319022","SamsungE_43:1a:d6","Broadcast","802.11","194","Probe Request, SN=2063, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"24138","65.814337416","SamsungE_43:1a:d6","Broadcast","802.11","194","Probe Request, SN=2065, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"24274","66.194138852","Htc_7f:d1:60","Broadcast","802.11","278","Probe Request, SN=3565, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"24400","66.509619490","Apple_65:cc:2b","Broadcast","802.11","305","Probe Request, SN=3960, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"24416","66.531165689","Apple_65:cc:2b","Broadcast","802.11","305","Probe Request, SN=3961, FN=0, Flags=........, SSID=NUST"
"24462","66.628759088","ChiconyE_36:91:f3","Broadcast","802.11","194","Probe Request, SN=413, FN=0, Flags=........, SSID=NUST"
"24519","66.817249586","LiteonTe_98:49:ce","Broadcast","802.11","194","Probe Request, SN=256, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"24548","66.935219567","ChiconyE_36:91:f3","Broadcast","802.11","194","Probe Request, SN=417, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"25682","69.652803980","SamsungE_af:29:9a","Broadcast","802.11","268","Probe Request, SN=2325, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"26030","70.824394867","Motorola_00:c3:b5","Broadcast","802.11","244","Probe Request, SN=4031, FN=0, Flags=...P...., SSID=Broadcast"
"28698","80.981877049","SamsungE_af:29:9a","Broadcast","802.11","268","Probe Request, SN=2371, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"29650","86.744857851","Apple_6a:ac:c6","Broadcast","802.11","274","Probe Request, SN=3875, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"30021","90.751560720","HuaweiTe_a3:24:b6","Broadcast","802.11","356","Probe Request, SN=3101, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"30027","90.756064229","HuaweiTe_a3:24:b6","Broadcast","802.11","356","Probe Request, SN=3102, FN=0, Flags=........, SSID=Broadcast"
"30045","90.816925401","HuaweiTe_a3:24:b6","Broadcast","802.11","356","Probe Request, SN=3103, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
"30193","92.897982090","Apple_6a:ac:c6","Broadcast","802.11","274","Probe Request, SN=3971, FN=0, Flags=........, SSID=NUST"
"31393","96.994081997","HonHaiPr_0e:ce:df","Broadcast","802.11","190","Probe Request, SN=304, FN=0, Flags=........, SSID=Broadcast"
"31427","97.013208385","HonHaiPr_0e:ce:df","Broadcast","802.11","190","Probe Request, SN=305, FN=0, Flags=........, SSID=Broadcast"
"31434","97.019208842","HonHaiPr_15:a3:4d","Broadcast","802.11","194","Probe Request, SN=335, FN=0, Flags=........, SSID=NUST[Malformed Packet]"
"31585","98.207047381","HonHaiPr_0e:ce:df","Broadcast","802.11","190","Probe Request, SN=321, FN=0, Flags=........, SSID=Broadcast"
"31841","98.474298497","HonHaiPr_0e:ce:df","Broadcast","802.11","190","Probe Request, SN=324, FN=0, Flags=........, SSID=Broadcast[Malformed Packet]"
